Ticker,TickerYahoo,Nome,Settore,Prezzo,PE,PB,ROE,DivYield,DebtEquity,MarketCapMld,CET1,SMA50,SMA200,DistSMA200,Dist52w,BarreCount,TargetPrice,TargetLow,TargetHigh,NumAnalisti,Buy,Hold,Sell,Rating,Upside,FonteFondamentali,FonteConsenso
ENI,ENI.MI,Eni,Energy,24.32,8.2,0.85,11.5,6.5,0.42,47.5,,23.46,21.28,14.28,-2.27,505,,,,,,,,,,universo.json,fallback
ENEL,ENEL.MI,Enel,Utilities,8.893,11.5,1.75,14.8,5.8,1.25,68.0,,9.46,9.52,-6.6,-13.49,505,,,,,,,,,,universo.json,fallback
ISP,ISP.MI,Intesa Sanpaolo,Banche,6.812,7.8,0.95,13.2,7.2,,62.0,13.8,6.7,5.99,13.64,-1.52,505,,,,,,,,,,universo.json,fallback
UCG,UCG.MI,UniCredit,Banche,83.68,6.9,0.72,14.5,6.8,,58.0,16.1,83.42,74.36,12.53,-2.87,505,,,,,,,,,,universo.json,fallback
G,G.MI,Generali,Assicurazioni,43.91,9.5,1.1,11.0,5.5,,32.0,,44.09,38.83,13.08,-4.94,505,,,,,,,,,,universo.json,fallback
RACE,RACE.MI,Ferrari,Auto Luxury,360.0,42.0,14.5,38.0,0.7,0.55,70.0,,351.11,315.53,14.09,-15.67,505,,,,,,,,,,universo.json,fallback
LDO,LDO.MI,Leonardo,Difesa,49.3,14.2,1.4,9.5,1.8,0.65,12.5,,53.52,54.3,-9.21,-23.28,505,,,,,,,,,,universo.json,fallback
PRY,PRY.MI,Prysmian,Industriali,125.35,18.0,3.2,18.0,2.5,0.75,14.0,,123.75,118.22,6.03,-20.11,505,,,,,,,,,,universo.json,fallback
SRG,SRG.MI,Snam,Utilities,5.636,13.5,1.5,11.0,5.2,1.1,15.0,,5.8,6.12,-7.92,-17.22,505,,,,,,,,,,universo.json,fallback
TRN,TRN.MI,Terna,Utilities,9.252,18.5,2.8,15.5,4.2,1.3,14.5,,9.75,9.77,-5.27,-10.91,505,,,,,,,,,,universo.json,fallback
